YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,NRSNG_VISITS_CNT,MSW_VISITS_CNT,AIDE_VISITS_CNT,TOT_NRSNG_MNTS,HOSPC_RHC_DAYS_PCT
2023,FY,PROVIDER,HOS,971554,At Twilight Hospice & Palliative Care,Carrollto,TX,75007,200,211,15986,4511979,2815694,2815694,2870354,76,*,78,53,48,64,28,*,7,0,*,*,3.07,0,14,7,0,48,0,21,7,*,0,*,0,0,0,0,2827,560,9420,161610,100
2023,FY,PROVIDER,HOS,971555,Epic 2,San Antonio,TX,78213,188,195,11471,2762842,1889054,1889054,2095221,32,9,79,46,54,45,6,*,47,0,*,*,3.13,*,17,*,0,25,0,25,23,*,0,*,0,0,0,0,2527,427,4985,133905,99
2023,FY,PROVIDER,HOS,971557,Klarus Hospice,Fort Worth,TX,76109,140,142,11837,3431711,2054970,2054970,2092656,21,*,83,35,65,83,*,0,9,0,0,*,2.68,0,14,8,0,35,0,31,11,*,0,*,0,0,0,0,2704,540,6333,127770,99
2023,FY,PROVIDER,HOS,971559,Wild Rose Hospice,Houston,TX,77036,29,30,2107,299360,366000,366000,373210,*,0,77,55,45,*,*,*,*,0,0,0,3.23,0,*,0,0,40,0,*,*,0,0,*,0,0,0,0,284,71,94,14100,100
2023,FY,PROVIDER,HOS,971560,Divinity Healthcare,Fort Worth,TX,76112,94,101,10365,2659190,1745477,1745477,1815273,32,*,81,28,72,41,47,0,12,0,0,0,2.32,0,13,0,0,46,0,33,*,0,*,*,0,0,*,0,2182,370,4175,131790,100
2023,FY,PROVIDER,HOS,971561,Tender Care Home Health & Hospice,El Paso,TX,79912,157,162,13941,3950658,2112647,2112647,2467102,22,*,85,45,55,36,7,*,55,0,*,*,2.54,0,12,*,0,41,0,23,9,*,8,*,0,0,0,0,2576,428,5580,92820,100
2023,FY,PROVIDER,HOS,971562,Gifted Hearts Hospice Llc,Seguin,TX,78155,32,35,3919,856432,608583,608583,674698,*,*,82,44,56,47,*,0,47,0,*,0,2.66,0,*,0,0,63,0,*,*,*,0,0,0,0,0,0,820,127,1123,31095,100
2023,FY,PROVIDER,HOS,971563,Arising Healthcare Services Inc,Houston,TX,77078,11,11,930,175049,156210,156210,159343,0,0,75,*,*,*,*,*,0,0,0,0,3.20,0,*,*,0,*,0,*,0,0,0,0,0,*,0,0,153,*,110,8850,100
2023,FY,PROVIDER,HOS,971564,Amavi Hospice And Palliative Care Llc,Mcallen,TX,78504,50,56,5346,2011525,816945,816945,939681,56,0,81,44,56,22,0,0,78,0,0,0,4.10,0,*,0,0,23,0,32,23,*,0,*,0,0,0,0,1430,182,1939,54405,100
2023,FY,PROVIDER,HOS,971566,Anointed Hospice Inc.,Plano,TX,75074,18,19,2489,638173,403629,403629,419975,*,0,86,*,*,61,*,*,*,0,0,0,2.67,0,0,*,0,*,0,*,*,0,0,0,0,0,0,0,590,27,1136,22275,100
